"food_nutrient_id","adjusted_amount","lab_method_id","nutrient_name"
"2250138","","1001","Nitrogen"
"2246694","","1001","Nitrogen"
"9636145","2.13","1001","Nitrogen"
"8516876","3.15","1001","Nitrogen Dumas method"
"8534659","6.1","1001","nitrogen"
"2227562","1.97","1001","Nitrogen by Dumas"
"2230505","0.21","1001","nitrogen"
"2226940","1.81","1001","Nitrogen by Dumas"
"2267821","3.22","1001","nitrogen"
"2263997","0.901","1001","Nitrogen by Dumas"
"9638592","0.93","1001","Protein"
"8524776","0.187","1001","Nitrogen"
"2262734","0.198","1001","Nitrogen by Dumas"
"9638468","0.81","1001","Protein"
"2227799","3.9","1001","Nitrogen by Dumas"
"2228118","3.98","1001","Nitrogen by Dumas"
"8516725","3.01","1001","Nitrogen Dumas method"
"2238341","","1001","Nitrogen"
"2262500","0.187","1001","Nitrogen by Dumas"
"8534797","5.94","1001","nitrogen"
"8524981","0.222","1001","Nitrogen Dumas method"
"2254154","","1001","Protein"
"9638492","0.72","1001","Protein"
"2262445","0.194","1001","Nitrogen by Dumas"
"9636001","1.89","1001","Nitrogen"
"2239936","","1001","Nitrogen"
"2251046","","1001","Nitrogen"
"2235295","","1001","Nitrogen"
"2202263","1.09","1001","Nitrogen by Dumas"
"8521216","2.65","1001","Nitrogen Dumas method"
"2246448","","1001","Nitrogen"
"2238209","","1001","Nitrogen"
"9636185","1.98","1001","Nitrogen"
"2238274","","1001","Nitrogen"
"2268029","3.28","1001","nitrogen"
"9636081","1.86","1001","Nitrogen"
"2267752","3.3","1001","nitrogen"
"2267337","2.82","1001","nitrogen"
"9636943","1.06","1001","Nitrogen"
"8535405","6.26","1001","Nitrogen Dumas method"
"8525076","0.157","1001","Nitrogen Dumas method"
"9636611","2.21","1001","Nitrogen"
"8525000","0.158","1001","Nitrogen Dumas method"
"8521591","2.93","1001","Nitrogen Dumas method"
"2230410","0.197","1001","nitrogen"
"2246248","","1001","Nitrogen"
"2237539","2.78","1001","Nitrogen by Dumas"
"2262350","0.171","1001","Nitrogen by Dumas"
"2246582","","1001","Nitrogen"
"2250970","","1001","Nitrogen"
"9636778","1.12","1001","Nitrogen"
"2235649","","1001","Nitrogen"
"8524517","0.208","1001","nitrogen"
"8524905","0.17","1001","Nitrogen Dumas method"
"2238093","","1001","Nitrogen"
"2253961","","1001","Protein"
"8524631","0.222","1001","nitrogen"
"2262568","0.194","1001","Nitrogen by Dumas"
"2228188","4.03","1001","Nitrogen by Dumas"
"2267268","2.93","1001","nitrogen"
"2230543","0.214","1001","nitrogen"
"8521366","2.7","1001","Nitrogen Dumas method"
"8534728","6.62","1001","nitrogen"
"2236550","3.89","1001","Nitrogen by Dumas"
"9636571","2.38","1001","Nitrogen"
"9636917","0.907","1001","Nitrogen"
"2238109","","1001","Nitrogen"
"2226570","1.84","1001","Nitrogen by Dumas"
"2253945","","1001","Protein"
"2239572","","1001","Nitrogen"
"2239794","","1001","Nitrogen"
"9635981","1.87","1001","Nitrogen"
"2267124","2.78","1001","nitrogen"
"8534947","7.14","1001","nitrogen"
"2237469","2.83","1001","Nitrogen by Dumas"
"2226748","1.97","1001","Nitrogen by Dumas"
"9636441","2.67","1001","Nitrogen"
"2230429","0.242","1001","nitrogen"
"2236715","3.86","1001","Nitrogen by Dumas"
"2253932","","1001","Protein"
"2254009","","1001","Protein"
"9636061","1.76","1001","Nitrogen"
