Status,class,category,fdc_id,data_type,description
,,,167782,sr_legacy_food,"Abiyuch, raw"
,,,171687,sr_legacy_food,"Acerola juice, raw"
,,,171686,sr_legacy_food,"Acerola, (west indian cherry), raw"
,,,168384,sr_legacy_food,"Alfalfa seeds, sprouted, raw"
,,,1103333,survey_fndds_food,"Alfalfa sprouts, raw"
,,,168385,sr_legacy_food,"Amaranth leaves, raw"
,,,2003590,foundation_food,"Apple juice, with added vitamin C, from concentrate, shelf stable"
,,,1102644,survey_fndds_food,"Apple, raw"
,,,1750340,foundation_food,"Apples, fuji, with skin, raw"
,,,1750341,foundation_food,"Apples, gala, with skin, raw"
,,,1750342,foundation_food,"Apples, granny smith, with skin, raw"
,,,1750343,foundation_food,"Apples, honeycrisp, with skin, raw"
,,,167793,sr_legacy_food,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)"
,,,168204,sr_legacy_food,"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)"
,,,168202,sr_legacy_food,"Apples, raw, golden delicious, with skin"
,,,168203,sr_legacy_food,"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)"
,,,168201,sr_legacy_food,"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)"
,,,171688,sr_legacy_food,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)"
,,,171689,sr_legacy_food,"Apples, raw, without skin"
,,,173928,sr_legacy_food,"Apples, raw, without skin, cooked, boiled"
,,,173929,sr_legacy_food,"Apples, raw, without skin, cooked, microwave"
,,,1750339,foundation_food,"Apples, red delicious, with skin, raw"
,,,1102650,survey_fndds_food,"Apricot, raw"
,,,171697,sr_legacy_food,"Apricots, raw"
,,,169203,sr_legacy_food,"Arrowhead, raw"
,,,168490,sr_legacy_food,"Arrowroot, raw"
,,,1103334,survey_fndds_food,"Artichoke, raw"
,,,169205,sr_legacy_food,"Artichokes, (globe or french), raw"
,,,169387,sr_legacy_food,"Arugula, raw"
,,,1103335,survey_fndds_food,"Asparagus, raw"
,,,168389,sr_legacy_food,"Asparagus, raw"
,,,1102652,survey_fndds_food,"Avocado, raw"
,,,171705,sr_legacy_food,"Avocados, raw, all commercial varieties"
,,,171706,sr_legacy_food,"Avocados, raw, California"
,,,171707,sr_legacy_food,"Avocados, raw, Florida"
,,,168391,sr_legacy_food,"Balsam-pear (bitter gourd), leafy tips, raw"
,,,168393,sr_legacy_food,"Balsam-pear (bitter gourd), pods, raw"
,,,169210,sr_legacy_food,"Bamboo shoots, raw"
,,,1102653,survey_fndds_food,"Banana, raw"
,,,1105073,foundation_food,"Bananas, overripe, raw"
,,,173944,sr_legacy_food,"Bananas, raw"
,,,1105314,foundation_food,"Bananas, ripe and slightly ripe, raw"
,,,1103348,survey_fndds_food,"Basil, raw"
,,,1103336,survey_fndds_food,"Bean sprouts, raw"
,,,173727,sr_legacy_food,"Beans, adzuki, mature seeds, raw"
,,,175186,sr_legacy_food,"Beans, black turtle, mature seeds, raw"
,,,173734,sr_legacy_food,"Beans, black, mature seeds, raw"
,,,175189,sr_legacy_food,"Beans, cranberry (roman), mature seeds, raw"
,,,747444,foundation_food,"Beans, Dry, Black (0% moisture)"
,,,747433,foundation_food,"Beans, Dry, Brown (0% moisture)"
